Nom,Code Postal,Ville,Activite principale,Site Web,Contact
OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS ONISEP,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
ASSOCIATION CHAMPOLLION ,38000,GRENOBLE,Programmation informatique,,[]
GRENOBLOISE D INFORMATIQUE PERIPHERIQUE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
ALOE INFORMATIQUE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.aloeslink.com,['abuse@nameshield.net']
MODIS FRANCE ,38000,GRENOBLE,Programmation informatique,www.modisfrance.fr,['contact.france@modis.com']
SMILE ,38000,GRENOBLE,Programmation informatique,www.smile.eu,['contact@smile.fr']
BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique,www.businessfrance.fr,"['dpo@businessfrance.fr', 'Amina.sambou@businessfrance.fr']"
BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique,www.businessfrance.fr,"['dpo@businessfrance.fr', 'Amina.sambou@businessfrance.fr']"
BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique,www.businessfrance.fr,"['dpo@businessfrance.fr', 'Amina.sambou@businessfrance.fr']"
BUSINESS & DECISION INTERACTIVE EOLAS ,38100,GRENOBLE,Programmation informatique,www.businessfrance.fr,"['dpo@businessfrance.fr', 'Amina.sambou@businessfrance.fr']"
BUSINESS & DECISION INTERACTIVE EOLAS ,38100,GRENOBLE,Programmation informatique,www.businessfrance.fr,"['dpo@businessfrance.fr', 'Amina.sambou@businessfrance.fr']"
INDEXPRESSE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.indexpresse.fr,"['indexpresse@indexpresse.fr', 'anne.bocquentin@indexpresse.fr']"
ASS UNION ALPINE PRESTATIONS ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
DACTYL'ASSISTANCE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
JB DEVELOPPEMENT ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.jbdeveloppement.fr,['contact@jbdeveloppement.fr']
ASS RRESALP ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
ADAMAH ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.adamah.at,"['adamahfinearts@gmail.com', 'biohof@adamah.at']"
ALTECA ,38000,GRENOBLE,Programmation informatique,www.alteca.fr,"['paris@alteca.fr', 'grenoble@alteca.fr', 'nantes@alteca.fr']"
HYPEROBJECTS ,38000,GRENOBLE,Programmation informatique,,[]
BILENDI TECHNOLOGY ELMA,38100,GRENOBLE,Programmation informatique,www.bilendi.tech,[]
NODULE MULTIMEDIA ,38000,GRENOBLE,Programmation informatique,,[]
CREAWE SERVICES ,38100,GRENOBLE,Programmation informatique,www.creawe-services.com,[]
ALLIANCE INFORMATIQUE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.alliance-informatique.fr,['contact@alliance-informatique.fr']
VIRTUAVIA ,38000,GRENOBLE,Programmation informatique,www.virtuavia.com,"['contact@virtuavia.com', 'ventes@virtuavia.com', 'support@virtuavia.com', 'sales@virtuavia.com']"
